0.13	0.117	
0.162	0.109	
0.138	0.074	
0.147	0.096	
0.116	0.04	
0.08	0.085	
0.15	0.051	
0.144	0.06	
0.134	0.068	
0.248	0.051	
0.175	0.041	
0.188	0.052	
0.173	0.055	
0.153	0.066	
0.133	0.04	
0.072	0.042	
0.075	0.043	
0.077	0.039	
0.147	0.062	
0.142	0.077	
0.111	0.044	
10.896	0.19	
0.337	0.079	
0.4	0.501	
0.187	0.137	
0.447	0.49	
0.242	0.135	
0.292	0.092	
0.372	0.108	
39.561	0.29	
0.628	1.702	
0.508	0.994	
0.273	1.415	
1.027	0.446	
4.3	0.824	
0.376	0.124	
0.309	0.35	
0.376	8.705	
0.073	0.046	
0.342	0.118	
0.628	0.151	
3.026	15.671	
1.026	0.341	
1.208	5.059	
0.361	0.082	
30.473	55.792	
26.526	22.679	
17.181	0.806	
13.585	300	
1.066	1.986	
4.547	23.21	
0.471	1.517	
4.255	16.493	
273.782	0.111	
300	120.31	
43.119	0.237	
1.275	0.121	
0.833	0.796	
0.301	0.198	
1.016	3.61	
2.423	2.621	
5.864	11.542	
300	0.444	
0.658	0.192	
19.189	277.787	
47.046	96.856	
5.568	21.744	
3.035	12.774	
300	300	
3.257	13.315	
300	0.239	
7.856	0.248	
138.456	135.073	
1.277	0.823	
24.651	183.483	
300	0.362	
1.041	15.425	
300	300	
21.589	92.59	
12.693	58.879	
44.323	104.245	
300	0.884	
300	1.032	
187.69	300	
57.544	300	
9.066	5.291	
300	0.33	
13.628	68.266	
300	0.696	
13.934	2.802	
74.217	0.479	
300	0.302	
1.196	0.353	
300	300	
47.09	1.793	
300	0.406	
300	300	
300	300	
300	0.161	
0.946	0.113	
